date,date_time,home_team,away_team,venue,home_score,away_score,margin,outcome,final,home_odds,away_odds
2009-08-22,2009-08-22 19:10:00,Richmond,Hawthorn,MCG,93,135,-42,0.0,False,3.03,1.36
2009-08-23,2009-08-23 13:10:00,St Kilda,North Melbourne,Marvel Stadium,59,64,-5,0.0,False,1.06,8.6
2009-08-23,2009-08-23 14:10:00,Collingwood,Sydney,MCG,97,56,41,1.0,False,1.2,4.36
2009-08-23,2009-08-23 14:40:00,Fremantle,Essendon,Domain Stadium,141,87,54,1.0,False,1.84,1.87
2009-08-28,2009-08-28 18:40:00,West Coast,Richmond,Domain Stadium,125,45,80,1.0,False,1.21,4.27
2009-08-29,2009-08-29 13:10:00,Geelong,Fremantle,GMHBA Stadium,94,54,40,1.0,False,1.05,9.0
2009-08-29,2009-08-29 14:10:00,Hawthorn,Essendon,MCG,99,116,-17,0.0,False,2.03,1.71
2009-08-29,2009-08-29 16:10:00,Carlton,Adelaide,Marvel Stadium,104,176,-72,0.0,False,1.81,1.93
2009-08-29,2009-08-29 19:10:00,Port Adelaide,North Melbourne,AAMI Stadium,67,71,-4,0.0,False,1.38,2.94
2009-08-29,2009-08-29 19:10:00,Sydney,Brisbane,SCG,92,100,-8,0.0,False,1.67,2.12
2009-08-30,2009-08-30 14:10:00,Melbourne,St Kilda,MCG,67,114,-47,0.0,False,12.0,1.02
2009-08-30,2009-08-30 16:40:00,Collingwood,Western Bulldogs,Marvel Stadium,76,100,-24,0.0,False,1.71,2.08
2009-09-04,2009-09-04 19:45:00,Adelaide,Essendon,AAMI Stadium,166,70,96,1.0,False,1.1,6.5
2009-09-05,2009-09-05 14:30:00,Geelong,Western Bulldogs,MCG,96,82,14,1.0,False,1.83,1.93
2009-09-05,2009-09-05 19:30:00,Brisbane,Carlton,Gabba,111,104,7,1.0,False,1.87,1.86
2009-09-06,2009-09-06 14:40:00,St Kilda,Collingwood,MCG,80,52,28,1.0,False,1.6,2.25
2009-09-11,2009-09-11 19:45:00,Western Bulldogs,Brisbane,MCG,107,56,51,1.0,False,1.26,3.7
2009-09-12,2009-09-12 19:30:00,Collingwood,Adelaide,MCG,83,78,5,1.0,False,2.18,1.66
2009-09-18,2009-09-18 19:45:00,St Kilda,Western Bulldogs,MCG,60,53,7,1.0,False,1.36,3.05
2009-09-19,2009-09-19 19:30:00,Geelong,Collingwood,MCG,120,47,73,1.0,False,1.34,3.18
2009-09-26,2009-09-26 14:30:00,St Kilda,Geelong,MCG,68,80,-12,0.0,False,2.2,1.63
2010-03-25,2010-03-25 19:10:00,Richmond,Carlton,MCG,64,120,-56,0.0,False,2.88,1.42
2010-03-26,2010-03-26 19:40:00,Geelong,Essendon,MCG,125,94,31,1.0,False,1.21,4.28
2010-03-27,2010-03-27 14:10:00,Melbourne,Hawthorn,MCG,61,117,-56,0.0,False,4.42,1.2
2010-03-27,2010-03-27 19:10:00,Brisbane,West Coast,Gabba,114,82,32,1.0,False,1.28,3.63
2010-03-27,2010-03-27 19:10:00,Sydney,St Kilda,Accor Stadium,88,96,-8,0.0,False,2.44,1.53
2010-03-28,2010-03-28 12:40:00,Port Adelaide,North Melbourne,AAMI Stadium,96,82,14,1.0,False,1.41,2.83
2010-03-28,2010-03-28 14:10:00,Western Bulldogs,Collingwood,Marvel Stadium,93,129,-36,0.0,False,1.62,2.25
2010-03-28,2010-03-28 17:10:00,Fremantle,Adelaide,Domain Stadium,118,62,56,1.0,False,1.94,1.8
2010-04-01,2010-04-01 19:40:00,Brisbane,Carlton,Gabba,107,88,19,1.0,False,1.32,3.45
2010-04-03,2010-04-03 14:10:00,Collingwood,Melbourne,MCG,86,85,1,1.0,False,1.05,10.33
2010-04-03,2010-04-03 17:40:00,West Coast,Port Adelaide,Domain Stadium,86,89,-3,0.0,False,1.58,2.31
2010-04-03,2010-04-03 19:10:00,St Kilda,North Melbourne,Marvel Stadium,143,39,104,1.0,False,1.13,5.58
2010-04-04,2010-04-04 12:40:00,Adelaide,Sydney,AAMI Stadium,75,118,-43,0.0,False,1.54,2.42
2010-04-04,2010-04-04 14:10:00,Essendon,Fremantle,Marvel Stadium,69,113,-44,0.0,False,1.46,2.66
2010-04-04,2010-04-04 16:40:00,Richmond,Western Bulldogs,MCG,48,120,-72,0.0,False,10.0,1.06
2010-04-05,2010-04-05 14:10:00,Hawthorn,Geelong,MCG,91,100,-9,0.0,False,2.4,1.56
2010-04-09,2010-04-09 19:40:00,St Kilda,Collingwood,Marvel Stadium,69,41,28,1.0,False,1.32,3.3
2010-04-10,2010-04-10 14:10:00,North Melbourne,West Coast,Marvel Stadium,116,91,25,1.0,False,1.85,1.91
2010-04-10,2010-04-10 14:40:00,Port Adelaide,Brisbane,AAMI Stadium,81,108,-27,0.0,False,1.84,1.92
2010-04-10,2010-04-10 19:10:00,Carlton,Essendon,MCG,75,95,-20,0.0,False,1.45,2.7
2010-04-10,2010-04-10 19:10:00,Sydney,Richmond,SCG,111,56,55,1.0,False,1.1,7.0
2010-04-11,2010-04-11 13:10:00,Melbourne,Adelaide,MCG,57,41,16,1.0,False,2.6,1.49
2010-04-11,2010-04-11 14:10:00,Western Bulldogs,Hawthorn,Marvel Stadium,100,84,16,1.0,False,1.47,2.63
2010-04-11,2010-04-11 14:40:00,Fremantle,Geelong,Domain Stadium,125,118,7,1.0,False,2.05,1.72
2010-04-16,2010-04-16 18:40:00,West Coast,Essendon,Domain Stadium,101,78,23,1.0,False,1.58,2.32
2010-04-17,2010-04-17 14:10:00,North Melbourne,Sydney,Marvel Stadium,60,100,-40,0.0,False,2.57,1.48
2010-04-17,2010-04-17 14:40:00,Adelaide,Carlton,AAMI Stadium,55,103,-48,0.0,False,1.77,1.97
2010-04-17,2010-04-17 19:10:00,Brisbane,Western Bulldogs,Gabba,101,79,22,1.0,False,1.95,1.78
2010-04-17,2010-04-17 19:10:00,Collingwood,Hawthorn,MCG,123,59,64,1.0,False,1.59,2.31
2010-04-18,2010-04-18 13:10:00,Richmond,Melbourne,MCG,78,133,-55,0.0,False,3.35,1.31
2010-04-18,2010-04-18 14:10:00,Geelong,Port Adelaide,GMHBA Stadium,159,64,95,1.0,False,1.13,5.7
2010-04-18,2010-04-18 16:40:00,St Kilda,Fremantle,Marvel Stadium,108,93,15,1.0,False,1.31,3.31
2010-04-23,2010-04-23 19:40:00,Western Bulldogs,Adelaide,Marvel Stadium,121,72,49,1.0,False,1.1,6.3
2010-04-24,2010-04-24 14:15:00,Sydney,West Coast,SCG,115,63,52,1.0,False,1.15,4.91
2010-04-24,2010-04-24 19:10:00,Melbourne,Brisbane,MCG,103,53,50,1.0,False,3.33,1.31
2010-04-24,2010-04-24 19:15:00,Port Adelaide,St Kilda,AAMI Stadium,54,44,10,1.0,False,3.55,1.28
2010-04-25,2010-04-25 14:40:00,Collingwood,Essendon,MCG,120,55,65,1.0,False,1.27,3.6
2010-04-25,2010-04-25 17:40:00,Hawthorn,North Melbourne,UTAS Stadium,70,82,-12,0.0,False,1.32,3.28
2010-04-25,2010-04-25 18:45:00,Fremantle,Richmond,Domain Stadium,112,73,39,1.0,False,1.04,10.5
2010-04-26,2010-04-26 14:10:00,Carlton,Geelong,MCG,104,68,36,1.0,False,4.38,1.19
2010-04-30,2010-04-30 19:40:00,Western Bulldogs,St Kilda,Marvel Stadium,46,49,-3,0.0,False,1.67,2.13
2010-05-01,2010-05-01 14:10:00,North Melbourne,Melbourne,Marvel Stadium,104,78,26,1.0,False,1.99,1.75
2010-05-01,2010-05-01 14:40:00,Adelaide,Port Adelaide,AAMI Stadium,74,97,-23,0.0,False,2.42,1.53
2010-05-01,2010-05-01 19:10:00,Essendon,Hawthorn,MCG,106,63,43,1.0,False,2.58,1.47
2010-05-01,2010-05-01 19:10:00,Sydney,Brisbane,SCG,107,87,20,1.0,False,1.52,2.43
2010-05-02,2010-05-02 13:10:00,Geelong,Richmond,GMHBA Stadium,161,53,108,1.0,False,1.03,12.25
2010-05-02,2010-05-02 14:10:00,Carlton,Collingwood,MCG,102,155,-53,0.0,False,2.44,1.52
2010-05-02,2010-05-02 14:40:00,West Coast,Fremantle,Domain Stadium,73,111,-38,0.0,False,2.84,1.4
2010-05-07,2010-05-07 19:40:00,Melbourne,Western Bulldogs,MCG,66,70,-4,0.0,False,4.05,1.23
2010-05-08,2010-05-08 13:10:00,West Coast,Hawthorn,Domain Stadium,102,94,8,1.0,False,1.6,2.3
2010-05-08,2010-05-08 14:10:00,Essendon,Port Adelaide,Marvel Stadium,106,109,-3,0.0,False,1.74,2.0
2010-05-08,2010-05-08 19:10:00,Brisbane,Fremantle,Gabba,100,113,-13,0.0,False,1.47,2.62
2010-05-08,2010-05-08 19:10:00,Collingwood,North Melbourne,MCG,157,91,66,1.0,False,1.19,4.55
2010-05-09,2010-05-09 13:10:00,Geelong,Sydney,GMHBA Stadium,126,59,67,1.0,False,1.27,3.71
2010-05-09,2010-05-09 16:10:00,Adelaide,Richmond,AAMI Stadium,104,54,50,1.0,False,1.19,4.54
